artist,song,fear,anger,anticip,trust,surprise,sadness,disgust,joy
ABBA,"Another Town, Another Train",0.029411764705882353,0.029411764705882353,0.3235294117647059,0.20588235294117646,0.14705882352941177,0.058823529411764705,0.058823529411764705,0.14705882352941177
ABBA,Disillusion,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.2857142857142857,0.3333333333333333,0,0.09523809523809523
ABBA,People Need Love,0.02564102564102564,0.02564102564102564,0.15384615384615385,0.34615384615384615,0.08974358974358974,0.0641025641025641,0.02564102564102564,0.2692307692307692
ABBA,I Saw It In The Mirror,0.13793103448275862,0.1724137931034483,0,0.06896551724137931,0,0.4482758620689655,0.13793103448275862,0.034482758620689655
ABBA,"Nina, Pretty Ballerina",0.022727272727272728,0.045454545454545456,0.18181818181818182,0.3181818181818182,0.045454545454545456,0.06818181818181818,0.022727272727272728,0.29545454545454547
ABBA,Love Isn't Easy (But It Sure Is Hard Enough),0.03816793893129771,0.04580152671755725,0.20610687022900764,0.2595419847328244,0.15267175572519084,0.03816793893129771,0.015267175572519083,0.24427480916030533
ABBA,Me And Bobby And Bobby's Brother,0.014285714285714285,0.05714285714285714,0.24285714285714285,0.3142857142857143,0.07142857142857142,0.014285714285714285,0.02857142857142857,0.2571428571428571
ABBA,He Is Your Brother,0.14516129032258066,0.11290322580645161,0.12903225806451613,0.25806451612903225,0.0967741935483871,0.08064516129032258,0.06451612903225806,0.11290322580645161
ABBA,She's My Kind Of Girl,0.10126582278481013,0.05063291139240506,0.06329113924050633,0.24050632911392406,0.13924050632911392,0.1518987341772152,0.05063291139240506,0.20253164556962025
ABBA,I Am Just A Girl,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.45161290322580644,0,0.03225806451612903,0.03225806451612903,0.3548387096774194
ABBA,Rock 'n Roll Band,0.06818181818181818,0.045454545454545456,0.18181818181818182,0.25,0.045454545454545456,0.06818181818181818,0.045454545454545456,0.29545454545454547
ABBA,Merry-Go-Round,0.10344827586206896,0.05172413793103448,0.05172413793103448,0.1724137931034483,0.017241379310344827,0.22413793103448276,0.06896551724137931,0.3103448275862069
ABBA,Santa Rosa,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0,0.1111111111111111
ABBA,Sitting In The Palmtree,0.05714285714285714,0.05714285714285714,0.12857142857142856,0.21428571428571427,0.11428571428571428,0.12857142857142856,0.08571428571428572,0.21428571428571427
ABBA,King Kong Song,0.06481481481481481,0.06481481481481481,0.14814814814814814,0.16666666666666666,0.07407407407407407,0.2222222222222222,0.046296296296296294,0.21296296296296297
ABBA,Hasta Manana,0.0625,0.041666666666666664,0.25,0.3333333333333333,0.0625,0.0625,0.041666666666666664,0.14583333333333334
ABBA,My Mama Said,0.13636363636363635,0.13636363636363635,0.045454545454545456,0.2727272727272727,0.045454545454545456,0.18181818181818182,0.09090909090909091,0.09090909090909091
ABBA,Dance (While The Music Still Goes On),0.06666666666666667,0.04,0.10666666666666667,0.32,0.02666666666666667,0.06666666666666667,0.06666666666666667,0.30666666666666664
ABBA,Honey Honey,0.1625,0.075,0.125,0.15,0.1125,0.15,0.025,0.2
ABBA,Watch Out,0.14473684210526316,0.05263157894736842,0.23684210526315788,0.17105263157894737,0.17105263157894737,0.05263157894736842,0,0.17105263157894737
ABBA,What About Livingstone,0.18181818181818182,0,0.045454545454545456,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.22727272727272727
ABBA,Gonna Sing You My Lovesong,0.0449438202247191,0.033707865168539325,0.21348314606741572,0.2247191011235955,0.06741573033707865,0.15730337078651685,0.033707865168539325,0.2247191011235955
ABBA,Suzy-Hang-Around,0.125,0.1125,0.1125,0.175,0.1125,0.1,0.1,0.1625
ABBA,Waterloo,0.11538461538461539,0.038461538461538464,0.23076923076923078,0.11538461538461539,0.1346153846153846,0.1346153846153846,0.11538461538461539,0.11538461538461539
ABBA,Mamma Mia,0.17857142857142858,0.10714285714285714,0.08928571428571429,0.26785714285714285,0.05357142857142857,0.23214285714285715,0.05357142857142857,0.017857142857142856
ABBA,Hey Hey Helen,0.07142857142857142,0,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.14285714285714285,0,0.21428571428571427
ABBA,Tropical Loveland,0.019230769230769232,0.019230769230769232,0.28846153846153844,0.25,0.038461538461538464,0.07692307692307693,0.057692307692307696,0.25
ABBA,S. O. S.,0.045454545454545456,0.045454545454545456,0.11363636363636363,0.3409090909090909,0.06818181818181818,0.045454545454545456,0.045454545454545456,0.29545454545454547
ABBA,Man In The Middle,0.08,0.16,0.1,0.2,0.04,0.18,0.08,0.16
ABBA,Bang-A-Boomerang,0.10112359550561797,0.10112359550561797,0.12359550561797752,0.2247191011235955,0.12359550561797752,0.10112359550561797,0.11235955056179775,0.11235955056179775
ABBA,"I Do, I Do, I Do, I Do, I Do",0.09803921568627451,0.09803921568627451,0.17647058823529413,0.19607843137254902,0.0784313725490196,0.13725490196078433,0.058823529411764705,0.1568627450980392
ABBA,Rock Me,0.05405405405405406,0.10810810810810811,0.08108108108108109,0.3108108108108108,0.08108108108108109,0.06756756756756757,0.05405405405405406,0.24324324324324326
ABBA,I've Been Waiting For You,0.09523809523809523,0.06349206349206349,0.20634920634920634,0.19047619047619047,0.12698412698412698,0.07936507936507936,0.06349206349206349,0.1746031746031746
ABBA,So Long,0.029411764705882353,0.11764705882352941,0.3382352941176471,0.1323529411764706,0.1323529411764706,0.07352941176470588,0.029411764705882353,0.14705882352941177
