artist,fear,anger,anticip,trust,surprise,sadness,disgust,joy
ABBA,0.09068589841951818,0.07181218352002455,0.16495319932484273,0.21175387448212368,0.0951357986803744,0.11677152063833052,0.05293846862053092,0.19594905631425502
AC/DC,0.17104299612930224,0.13442828747776964,0.14938801129825297,0.14007741395543466,0.0788785437807302,0.12428078250863062,0.08201694737943299,0.1198870174704467
AWOLNATION,0.1594909287841863,0.11047928513403736,0.12483076089899811,0.17303005686433795,0.0785269428648795,0.12401841321418901,0.07392363931762795,0.15569997292174384
Adele,0.11694290976058933,0.0817219152854512,0.1298342541436464,0.2106353591160221,0.07596685082872928,0.14617863720073665,0.070902394106814,0.16781767955801105
Akon,0.11170291463234207,0.09986684420772303,0.14765497854712237,0.20173102529960052,0.0770824086403314,0.1261281254623465,0.07663855599940819,0.1591951472111259
Alan Walker,0.14441747572815533,0.09587378640776699,0.10962783171521036,0.20509708737864077,0.08050161812297735,0.1395631067961165,0.08697411003236245,0.13794498381877024
Alec Benjamin,0.14088669950738916,0.10876847290640394,0.12295566502463054,0.18423645320197043,0.07428571428571429,0.15428571428571428,0.07605911330049261,0.13852216748768473
All Time Low,0.1250971250971251,0.09901209901209901,0.13242313242313242,0.1867021867021867,0.09290709290709291,0.15051615051615053,0.08402708402708403,0.1293151293151293
Ariana Grande,0.08711206511045523,0.08666487791789643,0.13227797155889456,0.22887040515159646,0.08505500402468473,0.11233342277077185,0.06797245326893837,0.19971380019676235
Avicii,0.11108207004704652,0.09958180867746995,0.13878724516466284,0.19628855201254575,0.0985363303711448,0.12963930998431783,0.07631991636173549,0.14976476738107683
Avril Lavigne,0.10854647535870243,0.10143480973175296,0.1323767935121647,0.1937616968184654,0.09332501559575795,0.13911416094822207,0.0859638178415471,0.1454772301933874
Backstreet Boys,0.08683903009056383,0.081799591002045,0.13029506281040024,0.2207858603564125,0.08559742915571136,0.1329973707274321,0.0600350569675723,0.2016505988898627
